End Date,End Time,Co,Status/units,CO,Status/units,CO,Status/units,Co,Status/units
01-01-2019,01:00:00,,,0.104272,R mgm-3,0.251524,R mgm-3,,
01-01-2019,02:00:00,,,0.084962,R mgm-3,0.251524,R mgm-3,,
01-01-2019,03:00:00,,,0.081101,R mgm-3,0.215171,R mgm-3,,
01-01-2019,04:00:00,,,0.075307,R mgm-3,0.173905,R mgm-3,,
01-01-2019,05:00:00,,,0.083997,R mgm-3,0.250542,R mgm-3,,
01-01-2019,06:00:00,,,0.098479,R mgm-3,0.442132,R mgm-3,,
01-01-2019,07:00:00,,,0.101375,R mgm-3,0.394971,R mgm-3,,
01-01-2019,08:00:00,,,0.115858,R mgm-3,0.362548,R mgm-3,,
01-01-2019,09:00:00,,,0.13034,R mgm-3,0.415603,R mgm-3,,
01-01-2019,10:00:00,,,0.136132,R mgm-3,0.377286,R mgm-3,,
01-01-2019,11:00:00,,,0.147718,R mgm-3,0.250542,R mgm-3,,
01-01-2019,12:00:00,,,0.159304,R mgm-3,0.162115,R mgm-3,,
01-01-2019,13:00:00,,,0.107168,R mgm-3,0.091373,R mgm-3,,
01-01-2019,14:00:00,,,0.112961,R mgm-3,0.082531,R mgm-3,,
01-01-2019,15:00:00,,,0.124547,R mgm-3,0.106112,R mgm-3,,
01-01-2019,16:00:00,,,0.156408,R mgm-3,0.112007,R mgm-3,,
01-01-2019,17:00:00,,,0.170889,R mgm-3,0.144429,R mgm-3,,
01-01-2019,18:00:00,,,0.150615,R mgm-3,0.262332,R mgm-3,,
01-01-2019,19:00:00,,,0.156408,R mgm-3,0.268227,R mgm-3,,
01-01-2019,20:00:00,,,0.159304,R mgm-3,0.315388,R mgm-3,,
01-01-2019,21:00:00,,,0.13034,R mgm-3,0.333073,R mgm-3,,
01-01-2019,22:00:00,,,0.110065,R mgm-3,0.365496,R mgm-3,,
01-01-2019,23:00:00,,,0.101375,R mgm-3,0.400865,R mgm-3,,
01-01-2019,24:00:00,,,0.095582,R mgm-3,0.392023,R mgm-3,,
02-01-2019,01:00:00,,,0.081101,R mgm-3,0.066772,R mgm-3,,
02-01-2019,02:00:00,,,0.081101,R mgm-3,0.082482,R mgm-3,,
02-01-2019,03:00:00,,,0.081101,R mgm-3,0.106048,R mgm-3,,
02-01-2019,04:00:00,,,0.072411,R mgm-3,0.114886,R mgm-3,,
02-01-2019,05:00:00,,,0.069514,R mgm-3,0.094265,R mgm-3,,
02-01-2019,06:00:00,,,0.072411,R mgm-3,0.097211,R mgm-3,,
02-01-2019,07:00:00,,,0.078204,R mgm-3,0.147289,R mgm-3,,
02-01-2019,08:00:00,,,0.101375,R mgm-3,0.185584,R mgm-3,,
02-01-2019,09:00:00,,,0.101375,R mgm-3,0.206204,R mgm-3,,
02-01-2019,10:00:00,,,0.118754,R mgm-3,0.209151,R mgm-3,,
02-01-2019,11:00:00,,,0.098479,R mgm-3,0.179693,R mgm-3,,
02-01-2019,12:00:00,,,0.098479,R mgm-3,0.150235,R mgm-3,,
02-01-2019,13:00:00,,,0.101375,R mgm-3,0.153181,R mgm-3,,
02-01-2019,14:00:00,,,0.098479,R mgm-3,0.167909,R mgm-3,,
02-01-2019,15:00:00,,,,,0.167909,R mgm-3,,
