End Date,End Time,Co,Status/units,CO,Status/units,CO,Status/units,Co,Status/units
01-01-2020,01:00:00,,,0.213586,R mgm-3,,,,
01-01-2020,02:00:00,,,0.236887,R mgm-3,0.397528,R mgm-3,,
01-01-2020,03:00:00,,,0.203878,R mgm-3,0.346417,R mgm-3,,
01-01-2020,04:00:00,,,0.203878,R mgm-3,0.335059,R mgm-3,,
01-01-2020,05:00:00,,,0.168928,R mgm-3,0.349257,R mgm-3,,
01-01-2020,06:00:00,,,0.160189,R mgm-3,0.403207,R mgm-3,,
01-01-2020,07:00:00,,,0.157278,R mgm-3,0.377651,R mgm-3,,
01-01-2020,08:00:00,,,0.177665,R mgm-3,0.366293,R mgm-3,,
01-01-2020,09:00:00,,,0.233003,R mgm-3,0.363454,R mgm-3,,
01-01-2020,10:00:00,,,0.329117,R mgm-3,0.394688,R mgm-3,,
01-01-2020,11:00:00,,,0.361155,R mgm-3,0.389009,R mgm-3,,
01-01-2020,12:00:00,,,0.35533,R mgm-3,0.423083,R mgm-3,,
01-01-2020,13:00:00,,,0.19514,R mgm-3,0.394688,R mgm-3,,
01-01-2020,14:00:00,,,0.180578,R mgm-3,0.360614,R mgm-3,,
01-01-2020,15:00:00,,,0.168928,R mgm-3,0.343578,R mgm-3,,
01-01-2020,16:00:00,,,0.142715,R mgm-3,0.227159,R mgm-3,,
01-01-2020,17:00:00,,,0.107764,R mgm-3,0.380491,R mgm-3,,
01-01-2020,18:00:00,,,0.101939,R mgm-3,0.309504,R mgm-3,,
01-01-2020,19:00:00,,,0.148539,R mgm-3,0.255554,R mgm-3,,
01-01-2020,20:00:00,,,0.145627,R mgm-3,0.247035,R mgm-3,,
01-01-2020,21:00:00,,,0.093201,R mgm-3,0.184566,R mgm-3,,
01-01-2020,22:00:00,,,0.122327,R mgm-3,0.198764,R mgm-3,,
01-01-2020,23:00:00,,,0.093201,R mgm-3,0.247035,R mgm-3,,
01-01-2020,24:00:00,,,0.093201,R mgm-3,0.102221,R mgm-3,,
02-01-2020,01:00:00,,,0.209556,R mgm-3,,,,
02-01-2020,02:00:00,,,0.190152,R mgm-3,0.290732,R mgm-3,,
02-01-2020,03:00:00,,,0.209556,R mgm-3,0.286013,R mgm-3,,
02-01-2020,04:00:00,,,0.203735,R mgm-3,0.254863,R mgm-3,,
02-01-2020,05:00:00,,,0.189183,R mgm-3,0.23504,R mgm-3,,
02-01-2020,06:00:00,,,0.192093,R mgm-3,0.23504,R mgm-3,,
02-01-2020,07:00:00,,,0.197914,R mgm-3,0.362471,R mgm-3,,
02-01-2020,08:00:00,,,0.197914,R mgm-3,0.362471,R mgm-3,,
02-01-2020,09:00:00,,,0.189183,R mgm-3,0.365304,R mgm-3,,
02-01-2020,10:00:00,,,0.200825,R mgm-3,0.286013,R mgm-3,,
02-01-2020,11:00:00,,,0.192093,R mgm-3,0.254863,R mgm-3,,
02-01-2020,12:00:00,,,0.165899,R mgm-3,0.29734,R mgm-3,,
02-01-2020,13:00:00,,,0.148436,R mgm-3,0.29734,R mgm-3,,
02-01-2020,14:00:00,,,0.148436,R mgm-3,0.311499,R mgm-3,,
02-01-2020,15:00:00,,,,,0.311499,R mgm-3,,
02-01-2020,16:00:00,,,0.097016,R mgm-3,0.283181,R mgm-3,,
02-01-2020,17:00:00,,,0.107689,R mgm-3,0.29734,R mgm-3,,
02-01-2020,18:00:00,,,0.130973,R mgm-3,0.246368,R mgm-3,,
02-01-2020,19:00:00,,,0.145525,R mgm-3,0.263358,R mgm-3,,
02-01-2020,20:00:00,,,0.136794,R mgm-3,0.175572,R mgm-3,,
02-01-2020,21:00:00,,,0.130973,R mgm-3,0.240704,R mgm-3,,
02-01-2020,22:00:00,,,0.119331,R mgm-3,0.212386,R mgm-3,,
02-01-2020,23:00:00,,,0.122241,R mgm-3,0.118936,R mgm-3,,
02-01-2020,24:00:00,,,0.119331,R mgm-3,0.087787,R mgm-3,,
03-01-2020,01:00:00,,,0.116455,R mgm-3,,,,
03-01-2020,02:00:00,,,0.116455,R mgm-3,0.165683,R mgm-3,,
03-01-2020,03:00:00,,,0.113543,R mgm-3,0.118613,R mgm-3,,
03-01-2020,04:00:00,,,0.113543,R mgm-3,0.110141,R mgm-3,,
03-01-2020,05:00:00,,,0.113543,R mgm-3,0.064955,R mgm-3,,
03-01-2020,06:00:00,,,0.110632,R mgm-3,0.152503,R mgm-3,,
03-01-2020,07:00:00,,,0.131011,R mgm-3,0.242875,R mgm-3,,
03-01-2020,08:00:00,,,0.154302,R mgm-3,0.336072,R mgm-3,,
03-01-2020,09:00:00,,,0.157214,R mgm-3,0.409499,R mgm-3,,
