End Date,End Time,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units
01-01-2019,01:00:00,5.91189,R ugm-3,16.64913,R ugm-3,47.04939,R ugm-3,12.71379,R ugm-3,8.25841,R ugm-3,,,19.18247,R ugm-3,7.599,R ugm-3,18.87596,R ugm-3,12.11276,R ugm-3,52.38422,R ugm-3,28.43121,R ugm-3,55.94581,R ugm-3
01-01-2019,02:00:00,7.7905,R ugm-3,18.44484,R ugm-3,43.39999,R ugm-3,12.34149,R ugm-3,8.12548,R ugm-3,,,24.11962,R ugm-3,16.62204,R ugm-3,19.75871,R ugm-3,,,46.65609,R ugm-3,35.61511,R ugm-3,54.4874,R ugm-3
01-01-2019,03:00:00,6.88244,R ugm-3,12.23044,R ugm-3,39.07622,R ugm-3,9.5745,R ugm-3,6.55748,R ugm-3,,,17.95539,R ugm-3,8.44743,R ugm-3,21.51622,R ugm-3,7.37307,R ugm-3,43.57085,R ugm-3,31.43118,R ugm-3,46.06068,R ugm-3
01-01-2019,04:00:00,4.30998,R ugm-3,9.90577,R ugm-3,22.43064,R ugm-3,8.27408,R ugm-3,4.64813,R ugm-3,,,16.60865,R ugm-3,5.83566,R ugm-3,21.12616,R ugm-3,6.02985,R ugm-3,25.62631,R ugm-3,23.69331,R ugm-3,45.23223,R ugm-3
01-01-2019,05:00:00,4.67092,R ugm-3,10.83652,R ugm-3,36.02708,R ugm-3,9.55017,R ugm-3,6.91755,R ugm-3,,,22.0461,R ugm-3,10.02852,R ugm-3,25.71346,R ugm-3,6.88769,R ugm-3,40.18036,R ugm-3,26.05681,R ugm-3,48.38486,R ugm-3
01-01-2019,06:00:00,7.19772,R ugm-3,18.75825,R ugm-3,51.4933,R ugm-3,20.97824,R ugm-3,10.53255,R ugm-3,,,27.18603,R ugm-3,15.03316,R ugm-3,30.85165,R ugm-3,13.3306,R ugm-3,69.51244,R ugm-3,31.07791,R ugm-3,50.3122,R ugm-3
01-01-2019,07:00:00,15.24124,R ugm-3,51.02457,R ugm-3,30.75199,R ugm-3,22.64138,R ugm-3,15.64791,R ugm-3,,,37.43809,R ugm-3,18.57122,R ugm-3,26.98231,R ugm-3,14.73303,R ugm-3,73.03419,R ugm-3,30.48623,R ugm-3,50.86058,R ugm-3
01-01-2019,08:00:00,18.79552,R ugm-3,38.69673,R ugm-3,51.50879,R ugm-3,34.95725,R ugm-3,20.77144,R ugm-3,,,41.38367,R ugm-3,20.2607,R ugm-3,35.49735,R ugm-3,17.4124,R ugm-3,55.9983,R ugm-3,34.18936,R ugm-3,46.77717,R ugm-3
01-01-2019,09:00:00,19.53914,R ugm-3,42.60193,R ugm-3,44.21321,R ugm-3,32.29365,R ugm-3,19.26773,R ugm-3,,,44.16122,R ugm-3,21.52362,R ugm-3,33.78942,R ugm-3,18.54135,R ugm-3,69.218,R ugm-3,32.18394,R ugm-3,43.70761,R ugm-3
01-01-2019,10:00:00,22.90355,R ugm-3,38.57601,R ugm-3,41.66194,R ugm-3,28.08881,R ugm-3,20.49278,R ugm-3,,,39.11023,R ugm-3,18.88117,R ugm-3,29.10908,R ugm-3,18.49028,R ugm-3,66.79459,R ugm-3,28.8689,R ugm-3,41.94651,R ugm-3
