End Date,End Time,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units
01-01-2020,01:00:00,39.26956,R ugm-3,,,39.99042,R ugm-3,,,41.19315,R ugm-3,42.98227,R ugm-3,46.18613,R ugm-3,45.61579,R ugm-3,46.22164,R ugm-3,,,45.77784,R ugm-3,48.40504,R ugm-3,23.90116,R ugm-3
01-01-2020,02:00:00,38.97559,R ugm-3,,,37.90489,R ugm-3,,,36.58697,R ugm-3,,,44.73371,R ugm-3,39.93404,R ugm-3,45.01138,R ugm-3,,,52.64325,R ugm-3,57.32882,R ugm-3,24.96095,R ugm-3
01-01-2020,03:00:00,35.71261,R ugm-3,,,37.2138,R ugm-3,,,36.85639,R ugm-3,44.59524,R ugm-3,44.28266,R ugm-3,39.5501,R ugm-3,41.43513,R ugm-3,,,44.7687,R ugm-3,44.64042,R ugm-3,24.27996,R ugm-3
01-01-2020,04:00:00,36.8459,R ugm-3,,,36.49748,R ugm-3,,,38.85722,R ugm-3,45.95522,R ugm-3,41.27891,R ugm-3,41.8323,R ugm-3,39.81147,R ugm-3,,,40.20699,R ugm-3,40.40889,R ugm-3,23.35454,R ugm-3
01-01-2020,05:00:00,31.90945,R ugm-3,,,28.24472,R ugm-3,,,34.51054,R ugm-3,40.73558,R ugm-3,30.76489,R ugm-3,39.8266,R ugm-3,33.6273,R ugm-3,,,47.2601,R ugm-3,33.90787,R ugm-3,23.32868,R ugm-3
01-01-2020,06:00:00,33.55316,R ugm-3,,,27.73178,R ugm-3,,,32.80925,R ugm-3,37.86027,R ugm-3,36.58187,R ugm-3,37.3433,R ugm-3,36.80641,R ugm-3,,,40.35921,R ugm-3,39.46226,R ugm-3,24.07132,R ugm-3
01-01-2020,07:00:00,35.54313,R ugm-3,,,29.87937,R ugm-3,,,31.25185,R ugm-3,44.114,R ugm-3,37.80066,R ugm-3,37.10842,R ugm-3,39.36885,R ugm-3,,,42.71639,R ugm-3,49.05511,R ugm-3,24.35883,R ugm-3
01-01-2020,08:00:00,34.28668,R ugm-3,,,36.17155,R ugm-3,,,31.19245,R ugm-3,37.18995,R ugm-3,41.69223,R ugm-3,43.05488,R ugm-3,44.7414,R ugm-3,,,40.73174,R ugm-3,46.63771,R ugm-3,23.44601,R ugm-3
01-01-2020,09:00:00,33.77687,R ugm-3,,,40.63005,R ugm-3,,,35.73945,R ugm-3,36.94748,R ugm-3,46.23388,R ugm-3,43.42625,R ugm-3,47.89668,R ugm-3,,,42.57103,R ugm-3,49.37264,R ugm-3,22.85076,R ugm-3
01-01-2020,10:00:00,34.51547,R ugm-3,,,41.63649,R ugm-3,,,36.53579,R ugm-3,41.37783,R ugm-3,48.79273,R ugm-3,43.30747,R ugm-3,46.93485,R ugm-3,,,38.30604,R ugm-3,46.34653,R ugm-3,23.41381,R ugm-3
01-01-2020,11:00:00,32.03971,R ugm-3,,,42.66606,R ugm-3,,,36.11655,R ugm-3,53.13601,R ugm-3,50.04111,R ugm-3,43.07092,R ugm-3,48.76806,R ugm-3,,,38.27603,R ugm-3,42.16737,R ugm-3,25.46144,R ugm-3
